ForecastDate,Date,Key,Estimated,Confirmed
2020-04-22,2020-04-04,AR_T,23,22
2020-04-22,2020-04-05,AR_T,24,22
2020-04-22,2020-04-06,AR_T,25,27
2020-04-22,2020-04-07,AR_T,26,28
2020-04-22,2020-04-08,AR_T,27,28
2020-04-22,2020-04-09,AR_T,27,29
2020-04-22,2020-04-10,AR_T,28,29
2020-04-22,2020-04-11,AR_T,29,30
2020-04-22,2020-04-12,AR_T,29,30
2020-04-22,2020-04-13,AR_T,30,30
2020-04-22,2020-04-14,AR_T,30,30
2020-04-22,2020-04-15,AR_T,30,30
2020-04-22,2020-04-16,AR_T,31,30
2020-04-22,2020-04-17,AR_T,31,30
2020-04-22,2020-04-18,AR_T,31,30
2020-04-22,2020-04-19,AR_T,32,30
2020-04-22,2020-04-20,AR_T,32,31
2020-04-22,2020-04-21,AR_T,32,31
2020-04-22,2020-04-22,AR_T,32,35
2020-04-22,2020-04-23,AR_T,32,
2020-04-22,2020-04-24,AR_T,33,
2020-04-22,2020-04-25,AR_T,33,
2020-04-22,2020-04-26,AR_T,33,
2020-04-22,2020-04-27,AR_T,33,
2020-04-22,2020-04-28,AR_T,33,
2020-04-22,2020-04-29,AR_T,33,
2020-04-22,2020-03-26,AR_V,13,14
2020-04-22,2020-03-27,AR_V,17,14
2020-04-22,2020-03-28,AR_V,22,19
2020-04-22,2020-03-29,AR_V,28,22
2020-04-22,2020-03-30,AR_V,34,32
2020-04-22,2020-03-31,AR_V,40,39
2020-04-22,2020-04-01,AR_V,46,39
2020-04-22,2020-04-02,AR_V,52,63
2020-04-22,2020-04-03,AR_V,58,64
2020-04-22,2020-04-04,AR_V,64,72
2020-04-22,2020-04-05,AR_V,69,75
2020-04-22,2020-04-06,AR_V,74,77
2020-04-22,2020-04-07,AR_V,78,79
2020-04-22,2020-04-08,AR_V,83,81
2020-04-22,2020-04-09,AR_V,86,81
2020-04-22,2020-04-10,AR_V,90,83
2020-04-22,2020-04-11,AR_V,93,86
2020-04-22,2020-04-12,AR_V,96,90
2020-04-22,2020-04-13,AR_V,98,94
2020-04-22,2020-04-14,AR_V,100,96
2020-04-22,2020-04-15,AR_V,102,99
2020-04-22,2020-04-16,AR_V,104,106
2020-04-22,2020-04-17,AR_V,105,108
2020-04-22,2020-04-18,AR_V,106,108
2020-04-22,2020-04-19,AR_V,108,111
2020-04-22,2020-04-20,AR_V,109,111
2020-04-22,2020-04-21,AR_V,109,113
2020-04-22,2020-04-22,AR_V,110,112
2020-04-22,2020-04-23,AR_V,111,
2020-04-22,2020-04-24,AR_V,111,
2020-04-22,2020-04-25,AR_V,112,
2020-04-22,2020-04-26,AR_V,112,
2020-04-22,2020-04-27,AR_V,113,
2020-04-22,2020-04-28,AR_V,113,
2020-04-22,2020-04-29,AR_V,113,
2020-04-22,2020-03-26,AR_X,50,53
2020-04-22,2020-03-27,AR_X,58,58
2020-04-22,2020-03-28,AR_X,66,57
2020-04-22,2020-03-29,AR_X,74,73
2020-04-22,2020-03-30,AR_X,83,80
2020-04-22,2020-03-31,AR_X,92,96
2020-04-22,2020-04-01,AR_X,101,102
2020-04-22,2020-04-02,AR_X,111,120
2020-04-22,2020-04-03,AR_X,121,134
2020-04-22,2020-04-04,AR_X,131,138
2020-04-22,2020-04-05,AR_X,140,143
2020-04-22,2020-04-06,AR_X,150,150
2020-04-22,2020-04-07,AR_X,160,154
2020-04-22,2020-04-08,AR_X,169,155
2020-04-22,2020-04-09,AR_X,178,160
2020-04-22,2020-04-10,AR_X,188,173
2020-04-22,2020-04-11,AR_X,196,205
2020-04-22,2020-04-12,AR_X,205,205
2020-04-22,2020-04-13,AR_X,213,215
2020-04-22,2020-04-14,AR_X,221,226
2020-04-22,2020-04-15,AR_X,229,232
2020-04-22,2020-04-16,AR_X,237,244
2020-04-22,2020-04-17,AR_X,244,250
2020-04-22,2020-04-18,AR_X,251,252
2020-04-22,2020-04-19,AR_X,257,263
2020-04-22,2020-04-20,AR_X,263,263
2020-04-22,2020-04-21,AR_X,269,264
2020-04-22,2020-04-22,AR_X,275,268
2020-04-22,2020-04-23,AR_X,280,
2020-04-22,2020-04-24,AR_X,285,
2020-04-22,2020-04-25,AR_X,290,
2020-04-22,2020-04-26,AR_X,294,
2020-04-22,2020-04-27,AR_X,298,
2020-04-22,2020-04-28,AR_X,302,
2020-04-22,2020-04-29,AR_X,306,
2020-04-22,2020-03-26,AT,6821,7029
2020-04-22,2020-03-27,AT,7510,7697
2020-04-22,2020-03-28,AT,8174,8291
2020-04-22,2020-03-29,AT,8808,8813
2020-04-22,2020-03-30,AT,9406,9618
2020-04-22,2020-03-31,AT,9967,10182
2020-04-22,2020-04-01,AT,10489,10711
2020-04-22,2020-04-02,AT,10970,11129
2020-04-22,2020-04-03,AT,11413,11525
2020-04-22,2020-04-04,AT,11818,11766
2020-04-22,2020-04-05,AT,12186,11983
2020-04-22,2020-04-06,AT,12520,12297
2020-04-22,2020-04-07,AT,12822,12640
2020-04-22,2020-04-08,AT,13093,12969
2020-04-22,2020-04-09,AT,13337,13248
2020-04-22,2020-04-10,AT,13556,13560
2020-04-22,2020-04-11,AT,13751,13807
2020-04-22,2020-04-12,AT,13926,13937
2020-04-22,2020-04-13,AT,14081,14043
2020-04-22,2020-04-14,AT,14220,14234
2020-04-22,2020-04-15,AT,14343,14370
2020-04-22,2020-04-16,AT,14452,14448
2020-04-22,2020-04-17,AT,14549,14603
2020-04-22,2020-04-18,AT,14635,14662
2020-04-22,2020-04-19,AT,14711,14710
2020-04-22,2020-04-20,AT,14778,14783
2020-04-22,2020-04-21,AT,14838,14833
2020-04-22,2020-04-22,AT,14891,14924
2020-04-22,2020-04-23,AT,14937,
2020-04-22,2020-04-24,AT,14978,
2020-04-22,2020-04-25,AT,15014,
2020-04-22,2020-04-26,AT,15047,
2020-04-22,2020-04-27,AT,15075,
2020-04-22,2020-04-28,AT,15100,
2020-04-22,2020-04-29,AT,15122,
2020-04-22,2020-03-26,AU,3133,3166
2020-04-22,2020-03-27,AU,3495,3378
2020-04-22,2020-03-28,AU,3838,3809
2020-04-22,2020-03-29,AU,4159,4093
2020-04-22,2020-03-30,AU,4455,4557
2020-04-22,2020-03-31,AU,4725,4707
2020-04-22,2020-04-01,AU,4970,4976
2020-04-22,2020-04-02,AU,5190,5224
2020-04-22,2020-04-03,AU,5386,5548
2020-04-22,2020-04-04,AU,5560,5687
2020-04-22,2020-04-05,AU,5713,5744
2020-04-22,2020-04-06,AU,5848,5844
2020-04-22,2020-04-07,AU,5966,5956
2020-04-22,2020-04-08,AU,6069,6052
2020-04-22,2020-04-09,AU,6159,6152
2020-04-22,2020-04-10,AU,6237,6238
2020-04-22,2020-04-11,AU,6305,6289
2020-04-22,2020-04-12,AU,6363,6322
2020-04-22,2020-04-13,AU,6414,6366
2020-04-22,2020-04-14,AU,6458,6416
2020-04-22,2020-04-15,AU,6495,6458
2020-04-22,2020-04-16,AU,6528,6497
2020-04-22,2020-04-17,AU,6556,6533
2020-04-22,2020-04-18,AU,6580,6586
2020-04-22,2020-04-19,AU,6600,6612
2020-04-22,2020-04-20,AU,6618,6625
2020-04-22,2020-04-21,AU,6633,6647
2020-04-22,2020-04-22,AU,6646,6654
2020-04-22,2020-04-23,AU,6658,
2020-04-22,2020-04-24,AU,6667,
2020-04-22,2020-04-25,AU,6676,
2020-04-22,2020-04-26,AU,6683,
2020-04-22,2020-04-27,AU,6689,
2020-04-22,2020-04-28,AU,6694,
2020-04-22,2020-04-29,AU,6698,
2020-04-23,2020-03-27,AU_ACT,61,62
2020-04-23,2020-03-28,AU_ACT,67,71
2020-04-23,2020-03-29,AU_ACT,73,77
2020-04-23,2020-03-30,AU_ACT,78,78
2020-04-23,2020-03-31,AU_ACT,82,80
2020-04-23,2020-04-01,AU_ACT,86,84
2020-04-23,2020-04-02,AU_ACT,89,87
2020-04-23,2020-04-03,AU_ACT,92,91
2020-04-23,2020-04-04,AU_ACT,94,93
2020-04-23,2020-04-05,AU_ACT,96,96
2020-04-23,2020-04-06,AU_ACT,97,96
2020-04-23,2020-04-07,AU_ACT,98,97
2020-04-23,2020-04-08,AU_ACT,99,99
2020-04-23,2020-04-09,AU_ACT,100,100
2020-04-23,2020-04-10,AU_ACT,101,103
2020-04-23,2020-04-11,AU_ACT,101,103
2020-04-23,2020-04-12,AU_ACT,102,102
2020-04-23,2020-04-13,AU_ACT,102,103
2020-04-23,2020-04-14,AU_ACT,103,103
2020-04-23,2020-04-15,AU_ACT,103,103
2020-04-23,2020-04-16,AU_ACT,103,103
2020-04-23,2020-04-17,AU_ACT,103,103
2020-04-23,2020-04-18,AU_ACT,103,103
2020-04-23,2020-04-19,AU_ACT,103,103
2020-04-23,2020-04-20,AU_ACT,103,104
2020-04-23,2020-04-21,AU_ACT,104,104
2020-04-23,2020-04-22,AU_ACT,104,104
2020-04-23,2020-04-23,AU_ACT,104,104
2020-04-23,2020-04-24,AU_ACT,104,
2020-04-23,2020-04-25,AU_ACT,104,
2020-04-23,2020-04-26,AU_ACT,104,
