Date,Key,GroceryAndPharmacy,TransitStations,Parks,Workplaces,RetailAndRecreation,Residential
2020-02-18,LY,4,1,9,5,2,-1
2020-02-18,MD,6,5,8,4,9,-2
2020-02-18,MK,6,5,14,2,4,-2
2020-02-18,ML,-2,0,2,3,-3,1
2020-02-18,MM,-1,-3,-2,5,-3,1
2020-02-18,MN,11,-4,-12,-3,-1,3
2020-02-18,MT,3,7,18,3,7,-1
2020-02-18,MU,-6,7,26,-2,-3,-2
2020-02-18,MX,0,3,2,8,0,-1
2020-02-18,MY,-4,-7,-3,2,-6,2
2020-02-18,MZ,-8,-6,-6,13,-7,-2
2020-02-18,NA,-14,-15,-5,6,-14,0
2020-02-18,NE,2,-1,-4,4,-2,-1
2020-02-18,NG,-4,-2,0,1,-2,1
2020-02-18,NI,-4,-2,-1,10,-4,-1
2020-02-18,NL,0,-3,20,-5,3,1
2020-02-18,NO,3,-2,47,-12,6,0
2020-02-18,NP,4,4,3,6,4,0
2020-02-18,NZ,2,11,0,14,0,-2
2020-02-18,OM,-7,-3,-2,8,-7,1
2020-02-18,PA,2,4,0,4,1,-1
2020-02-18,PE,-1,0,0,1,0,1
2020-02-18,PG,-3,-3,-13,8,1,1
2020-02-18,PH,-3,-6,-4,5,-3,1
2020-02-18,PK,0,3,6,4,0,-1
2020-02-18,PL,0,-1,13,1,5,0
2020-02-18,PR,-2,7,4,8,-2,-1
2020-02-18,PT,3,7,23,3,4,-1
2020-02-18,PY,-3,-5,-4,12,-4,0
2020-02-18,QA,-4,-1,7,4,-3,1
2020-02-18,RO,4,5,-1,2,3,-1
2020-02-18,RW,-8,1,7,2,-4,1
2020-02-18,SA,-4,-4,8,3,-7,1
2020-02-18,SE,1,-3,25,-5,3,1
2020-02-18,SG,-13,-15,-6,-5,-14,7
2020-02-18,SI,1,-4,12,-9,4,1
2020-02-18,SK,0,0,31,-7,4,1
2020-02-18,SN,-3,-6,-3,2,-4,1
2020-02-18,SV,0,2,-1,3,0,-1
2020-02-18,TG,-2,-3,-9,0,-9,1
2020-02-18,TH,-2,-6,-3,0,-4,1
2020-02-18,TJ,-1,-1,-6,17,-3,-1
2020-02-18,TR,3,0,6,9,0,-2
2020-02-18,TT,7,28,29,0,9,-1
2020-02-18,TW,-4,-12,7,3,-7,4
2020-02-18,TZ,-2,-2,-2,0,-1,1
2020-02-18,UG,-5,0,-6,7,-4,-1
2020-02-18,US,0,1,8,1,2,0
2020-02-18,US_AK,-2,4,1,-3,-1,2
2020-02-18,US_AL,1,4,5,1,3,0
2020-02-18,US_AR,1,0,22,3,4,-1
