Date,Key,CountryCode,CountryName,RegionCode,RegionName,Confirmed,Deaths,Latitude,Longitude,Population
2020-01-29,CN_HL,CN,China,HL,Heilongjiang,38,1,47.862000,127.761500,
2020-01-29,CN_HN,CN,China,HN,Hunan,221,0,27.610400,111.708800,
2020-01-29,CN_JL,CN,China,JL,Jilin,9,0,43.666100,126.192300,
2020-01-29,CN_JS,CN,China,JS,Jiangsu,99,0,32.971100,119.455000,
2020-01-29,CN_JX,CN,China,JX,Jiangxi,109,0,27.614000,115.722100,
2020-01-29,CN_LN,CN,China,LN,Liaoning,38,0,41.295600,122.608500,
2020-01-29,CN_NX,CN,China,NX,Ningxia,12,0,37.269200,106.165500,
2020-01-29,CN_SC,CN,China,SC,Sichuan,108,0,30.617100,102.710300,
2020-01-29,CN_SD,CN,China,SD,Shandong,130,0,36.342700,118.149800,
2020-01-29,CN_SH,CN,China,SH,Shanghai,96,1,31.202000,121.449100,
2020-01-29,CN_SN,CN,China,SN,Shaanxi,56,0,35.191700,108.870100,
2020-01-29,CN_SX,CN,China,SX,Shanxi,27,0,37.577700,112.292200,
2020-01-29,CN_TJ,CN,China,TJ,Tianjin,27,0,39.305400,117.323000,
2020-01-29,CN_XJ,CN,China,XJ,Xinjiang,13,0,41.112900,85.240100,
2020-01-29,CN_YN,CN,China,YN,Yunnan,55,0,24.974000,101.487000,
2020-01-29,CN_ZJ,CN,China,ZJ,Zhejiang,296,0,29.183200,120.093400,
2020-01-30,CN_AH,CN,China,AH,Anhui,200,0,31.825700,117.226400,
2020-01-30,CN_BJ,CN,China,BJ,Beijing,114,1,40.182400,116.414200,
2020-01-30,CN_CQ,CN,China,CQ,Chongqing,182,0,30.057200,107.874000,
2020-01-30,CN_FJ,CN,China,FJ,Fujian,101,0,26.078900,117.987400,
2020-01-30,CN_GD,CN,China,GD,Guangdong,354,0,23.341700,113.424400,
2020-01-30,CN_GS,CN,China,GS,Gansu,26,0,37.809900,101.058300,
2020-01-30,CN_GX,CN,China,GX,Guangxi,78,0,23.829800,108.788100,
2020-01-30,CN_GZ,CN,China,GZ,Guizhou,12,0,26.815400,106.874800,
2020-01-30,CN_HA,CN,China,HA,Henan,278,2,33.882000,113.614000,
2020-01-30,CN_HB,CN,China,HB,Hubei,4586,162,30.975600,112.270700,
2020-01-30,CN_HE,CN,China,HE,Hebei,65,1,39.549000,116.130600,
2020-01-30,CN_HI,CN,China,HI,Hainan,46,1,19.195900,109.745300,
2020-01-30,CN_HL,CN,China,HL,Heilongjiang,43,1,47.862000,127.761500,
2020-01-30,CN_HN,CN,China,HN,Hunan,277,0,27.610400,111.708800,
2020-01-30,CN_JL,CN,China,JL,Jilin,14,0,43.666100,126.192300,
2020-01-30,CN_JS,CN,China,JS,Jiangsu,129,0,32.971100,119.455000,
2020-01-30,CN_JX,CN,China,JX,Jiangxi,162,0,27.614000,115.722100,
2020-01-30,CN_LN,CN,China,LN,Liaoning,41,0,41.295600,122.608500,
2020-01-30,CN_NX,CN,China,NX,Ningxia,17,0,37.269200,106.165500,
2020-01-30,CN_SC,CN,China,SC,Sichuan,142,1,30.617100,102.710300,
2020-01-30,CN_SD,CN,China,SD,Shandong,158,0,36.342700,118.149800,
2020-01-30,CN_SH,CN,China,SH,Shanghai,112,1,31.202000,121.449100,
2020-01-30,CN_SN,CN,China,SN,Shaanxi,63,0,35.191700,108.870100,
2020-01-30,CN_SX,CN,China,SX,Shanxi,35,0,37.577700,112.292200,
2020-01-30,CN_TJ,CN,China,TJ,Tianjin,29,0,39.305400,117.323000,
2020-01-30,CN_XJ,CN,China,XJ,Xinjiang,14,0,41.112900,85.240100,
2020-01-30,CN_YN,CN,China,YN,Yunnan,70,0,24.974000,101.487000,
2020-01-30,CN_ZJ,CN,China,ZJ,Zhejiang,428,0,29.183200,120.093400,
2020-01-31,CN_AH,CN,China,AH,Anhui,237,0,31.825700,117.226400,
2020-01-31,CN_BJ,CN,China,BJ,Beijing,139,1,40.182400,116.414200,
2020-01-31,CN_CQ,CN,China,CQ,Chongqing,211,0,30.057200,107.874000,
2020-01-31,CN_FJ,CN,China,FJ,Fujian,120,0,26.078900,117.987400,
2020-01-31,CN_GD,CN,China,GD,Guangdong,436,0,23.341700,113.424400,
2020-01-31,CN_GS,CN,China,GS,Gansu,29,0,37.809900,101.058300,
2020-01-31,CN_GX,CN,China,GX,Guangxi,87,0,23.829800,108.788100,
2020-01-31,CN_GZ,CN,China,GZ,Guizhou,29,0,26.815400,106.874800,
2020-01-31,CN_HA,CN,China,HA,Henan,352,2,33.882000,113.614000,
2020-01-31,CN_HB,CN,China,HB,Hubei,5806,204,30.975600,112.270700,
2020-01-31,CN_HE,CN,China,HE,Hebei,82,1,39.549000,116.130600,
