Date,Key,CountryCode,CountryName,RegionCode,RegionName,Confirmed,Deaths,Latitude,Longitude,Population,Region
2020-01-30,CN,CN,China,GD,Guangdong,354,0,23.341700,113.424400,,Guangdong
2020-01-30,CN,CN,China,GS,Gansu,26,0,37.809900,101.058300,,Gansu
2020-01-30,CN,CN,China,GX,Guangxi,78,0,23.829800,108.788100,,Guangxi
2020-01-30,CN,CN,China,GZ,Guizhou,12,0,26.815400,106.874800,,Guizhou
2020-01-30,CN,CN,China,HA,Henan,278,2,33.882000,113.614000,,Henan
2020-01-30,CN,CN,China,HB,Hubei,4586,162,30.975600,112.270700,,Hubei
2020-01-30,CN,CN,China,HE,Hebei,65,1,39.549000,116.130600,,Hebei
2020-01-30,CN,CN,China,HI,Hainan,46,1,19.195900,109.745300,,Hainan
2020-01-30,CN,CN,China,HL,Heilongjiang,43,1,47.862000,127.761500,,Heilongjiang
2020-01-30,CN,CN,China,HN,Hunan,277,0,27.610400,111.708800,,Hunan
2020-01-30,CN,CN,China,JL,Jilin,14,0,43.666100,126.192300,,Jilin
2020-01-30,CN,CN,China,JS,Jiangsu,129,0,32.971100,119.455000,,Jiangsu
2020-01-30,CN,CN,China,JX,Jiangxi,162,0,27.614000,115.722100,,Jiangxi
2020-01-30,CN,CN,China,LN,Liaoning,41,0,41.295600,122.608500,,Liaoning
2020-01-30,CN,CN,China,NX,Ningxia,17,0,37.269200,106.165500,,Ningxia
2020-01-30,CN,CN,China,SC,Sichuan,142,1,30.617100,102.710300,,Sichuan
2020-01-30,CN,CN,China,SD,Shandong,158,0,36.342700,118.149800,,Shandong
2020-01-30,CN,CN,China,SH,Shanghai,112,1,31.202000,121.449100,,Shanghai
2020-01-30,CN,CN,China,SN,Shaanxi,63,0,35.191700,108.870100,,Shaanxi
2020-01-30,CN,CN,China,SX,Shanxi,35,0,37.577700,112.292200,,Shanxi
2020-01-30,CN,CN,China,TJ,Tianjin,29,0,39.305400,117.323000,,Tianjin
2020-01-30,CN,CN,China,XJ,Xinjiang,14,0,41.112900,85.240100,,Xinjiang
2020-01-30,CN,CN,China,YN,Yunnan,70,0,24.974000,101.487000,,Yunnan
2020-01-30,CN,CN,China,ZJ,Zhejiang,428,0,29.183200,120.093400,,Zhejiang
2020-01-31,CN,CN,China,,,9714,213,35.861660,104.195397,1433783686,
2020-01-31,CN,CN,China,AH,Anhui,237,0,31.825700,117.226400,,Anhui
2020-01-31,CN,CN,China,BJ,Beijing,139,1,40.182400,116.414200,,Beijing
