date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2020-05-19,GB_ENG_E09000016,1,,,,694,,,
2020-05-19,GB_ENG_E09000017,1,,,,775,,,
2020-05-19,GB_ENG_E09000018,1,,,,724,,,
2020-05-19,GB_ENG_E09000019,1,,,,458,,,
2020-05-19,GB_ENG_E09000022,2,,,,1195,,,
2020-05-19,GB_ENG_E09000023,4,,,,978,,,
2020-05-19,GB_ENG_E09000024,2,,,,690,,,
2020-05-19,GB_ENG_E09000026,1,,,,750,,,
2020-05-19,GB_ENG_E09000028,1,,,,1263,,,
2020-05-19,GB_ENG_E09000029,1,,,,729,,,
2020-05-19,GB_ENG_E09000030,1,,,,629,,,
2020-05-19,GB_ENG_E09000031,4,,,,760,,,
2020-05-19,GB_ENG_E09000032,2,,,,992,,,
2020-05-19,GB_ENG_E10000002,4,,,,969,,,
2020-05-19,GB_ENG_E10000003,19,,,,1113,,,
2020-05-19,GB_ENG_E10000006,8,,,,2166,,,
2020-05-19,GB_ENG_E10000007,10,,,,1633,,,
2020-05-19,GB_ENG_E10000008,6,,,,806,,,
2020-05-19,GB_ENG_E10000011,3,,,,671,,,
2020-05-19,GB_ENG_E10000012,11,,,,3137,,,
2020-05-19,GB_ENG_E10000013,2,,,,1355,,,
2020-05-19,GB_ENG_E10000014,41,,,,3238,,,
2020-05-19,GB_ENG_E10000015,17,,,,2818,,,
2020-05-19,GB_ENG_E10000016,90,,,,4700,,,
2020-05-19,GB_ENG_E10000017,29,,,,3456,,,
2020-05-19,GB_ENG_E10000018,23,,,,1209,,,
2020-05-19,GB_ENG_E10000019,3,,,,1077,,,
2020-05-19,GB_ENG_E10000020,29,,,,2089,,,
2020-05-19,GB_ENG_E10000021,12,,,,1371,,,
2020-05-19,GB_ENG_E10000023,7,,,,1265,,,
2020-05-19,GB_ENG_E10000024,8,,,,1358,,,
2020-05-19,GB_ENG_E10000025,10,,,,2004,,,
2020-05-19,GB_ENG_E10000027,3,,,,640,,,
2020-05-19,GB_ENG_E10000028,20,,,,2140,,,
2020-05-19,GB_ENG_E10000029,13,,,,1425,,,
2020-05-19,GB_ENG_E10000030,16,,,,2873,,,
2020-05-19,GB_ENG_E10000031,14,,,,1416,,,
2020-05-19,GB_ENG_E10000032,5,,,,1303,,,
