key,date,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
NL_FR_1970,2020-05-21,0,6,,,,,,,
NL_GE,2020-05-21,1,1475,,,,,,,
NL_GE_0197,2020-05-21,0,9,,,,,,,
NL_GE_0200,2020-05-21,0,88,,,,,,,
NL_GE_0202,2020-05-21,0,65,,,,,,,
NL_GE_0203,2020-05-21,0,18,,,,,,,
NL_GE_0209,2020-05-21,0,19,,,,,,,
NL_GE_0213,2020-05-21,0,17,,,,,,,
NL_GE_0214,2020-05-21,0,16,,,,,,,
NL_GE_0216,2020-05-21,0,21,,,,,,,
NL_GE_0221,2020-05-21,0,9,,,,,,,
NL_GE_0222,2020-05-21,0,26,,,,,,,
NL_GE_0225,2020-05-21,0,24,,,,,,,
NL_GE_0226,2020-05-21,0,14,,,,,,,
NL_GE_0228,2020-05-21,0,54,,,,,,,
NL_GE_0230,2020-05-21,0,28,,,,,,,
NL_GE_0232,2020-05-21,0,47,,,,,,,
NL_GE_0233,2020-05-21,0,30,,,,,,,
NL_GE_0243,2020-05-21,0,41,,,,,,,
NL_GE_0244,2020-05-21,0,16,,,,,,,
NL_GE_0246,2020-05-21,0,54,,,,,,,
NL_GE_0252,2020-05-21,0,17,,,,,,,
NL_GE_0262,2020-05-21,0,14,,,,,,,
NL_GE_0263,2020-05-21,0,15,,,,,,,
NL_GE_0267,2020-05-21,0,22,,,,,,,
NL_GE_0268,2020-05-21,0,126,,,,,,,
NL_GE_0269,2020-05-21,0,39,,,,,,,
NL_GE_0273,2020-05-21,0,8,,,,,,,
NL_GE_0274,2020-05-21,0,14,,,,,,,
NL_GE_0275,2020-05-21,0,33,,,,,,,
NL_GE_0277,2020-05-21,0,1,,,,,,,
NL_GE_0279,2020-05-21,0,4,,,,,,,
NL_GE_0281,2020-05-21,0,41,,,,,,,
NL_GE_0285,2020-05-21,0,17,,,,,,,
NL_GE_0289,2020-05-21,0,20,,,,,,,
NL_GE_0293,2020-05-21,0,12,,,,,,,
NL_GE_0294,2020-05-21,0,7,,,,,,,
NL_GE_0296,2020-05-21,0,43,,,,,,,
NL_GE_0297,2020-05-21,0,20,,,,,,,
NL_GE_0299,2020-05-21,0,43,,,,,,,
NL_GE_0301,2020-05-21,1,30,,,,,,,
NL_GE_0302,2020-05-21,0,55,,,,,,,
NL_GE_0668,2020-05-21,0,18,,,,,,,
NL_GE_1509,2020-05-21,0,21,,,,,,,
NL_GE_1586,2020-05-21,0,17,,,,,,,
NL_GE_1705,2020-05-21,0,31,,,,,,,
NL_GE_1734,2020-05-21,0,57,,,,,,,
NL_GE_1740,2020-05-21,0,34,,,,,,,
NL_GE_1859,2020-05-21,0,12,,,,,,,
NL_GE_1876,2020-05-21,0,17,,,,,,,
NL_GE_1945,2020-05-21,0,29,,,,,,,
NL_GE_1955,2020-05-21,0,20,,,,,,,
NL_GE_1960,2020-05-21,0,42,,,,,,,
NL_GR,2020-05-21,0,74,,,,,,,
NL_GR_0003,2020-05-21,0,3,,,,,,,
NL_GR_0010,2020-05-21,0,6,,,,,,,
NL_GR_0014,2020-05-21,0,18,,,,,,,
NL_GR_0024,2020-05-21,0,0,,,,,,,
