key,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
CO_05_05148,2020-05-19,0,0,1,,1,0,1,
CO_05_05154,2020-05-16,1,0,0,,1,0,0,
CO_05_05190,2020-05-21,0,0,1,,1,0,1,
CO_05_05197,2020-05-07,0,0,1,,1,0,1,
CO_05_05212,2020-05-27,1,0,0,,13,0,8,
CO_05_05237,2020-04-08,0,0,1,,1,0,1,
CO_05_05250,2020-05-25,0,0,1,,1,0,1,
CO_05_05266,2020-05-26,1,0,0,,29,0,25,
CO_05_05284,2020-05-27,1,0,0,,2,0,1,
CO_05_05313,2020-05-02,0,1,0,,1,1,0,
CO_05_05318,2020-04-28,0,0,1,,3,0,3,
CO_05_05321,2020-05-16,0,0,1,,2,0,2,
CO_05_05360,2020-05-26,1,0,0,,19,0,14,
CO_05_05361,2020-05-27,3,0,0,,186,0,2,
CO_05_05368,2020-05-27,1,0,0,,1,0,0,
CO_05_05376,2020-05-27,1,0,0,,3,0,2,
CO_05_05380,2020-05-22,1,0,0,,11,0,8,
CO_05_05440,2020-05-24,1,0,0,,3,0,0,
CO_05_05467,2020-05-15,0,0,1,,3,0,3,
CO_05_05607,2020-04-07,0,0,1,,1,0,1,
CO_05_05615,2020-05-20,1,0,0,,13,0,11,
CO_05_05631,2020-05-24,1,0,0,,15,0,9,
CO_05_05652,2020-04-24,0,1,0,,1,1,0,
CO_05_05665,2020-04-22,0,0,1,,1,0,1,
CO_05_05686,2020-04-13,0,0,1,,2,0,2,
CO_05_05697,2020-04-25,0,0,1,,1,0,1,
CO_05_05756,2020-04-25,0,0,1,,2,0,1,
CO_05_05837,2020-05-26,2,0,0,,19,0,0,
CO_08_08001,2020-05-27,44,0,0,,1620,48,181,
CO_08_08078,2020-05-27,1,0,0,,27,0,4,
CO_08_08137,2020-05-26,1,0,0,,2,0,0,
CO_08_08141,2020-05-18,0,0,1,,1,0,1,
CO_08_08296,2020-05-27,12,0,0,,48,2,2,
CO_08_08372,2020-05-17,1,0,0,,1,0,0,
CO_08_08421,2020-05-19,1,0,0,,1,0,0,
CO_08_08433,2020-05-27,4,0,0,,239,9,13,
CO_08_08436,2020-05-19,1,0,0,,5,0,1,
CO_08_08520,2020-05-26,2,0,0,,40,0,3,
CO_08_08549,2020-05-27,1,0,0,,1,0,0,
CO_08_08558,2020-05-22,1,0,0,,12,0,6,
CO_08_08560,2020-05-26,2,0,0,,7,0,1,
CO_08_08573,2020-05-26,1,0,1,,28,1,6,
CO_08_08606,2020-05-13,1,0,0,,1,1,0,
CO_08_08634,2020-05-26,2,0,1,,86,1,16,
CO_08_08638,2020-05-26,1,0,0,,29,0,3,
CO_08_08675,2020-05-14,1,0,0,,2,1,0,
CO_08_08685,2020-05-26,1,0,0,,37,1,3,
CO_08_08758,2020-05-27,33,0,0,,925,17,90,
CO_08_08832,2020-05-23,1,0,0,,1,0,0,
CO_08_08849,2020-05-21,1,0,0,,1,0,0,
CO_11_11001,2020-05-27,303,1,0,,8045,235,2624,
CO_13_13001,2020-05-27,120,2,0,,2342,115,325,
CO_13_13052,2020-05-27,3,0,0,,26,1,9,
CO_13_13074,2020-04-17,1,0,0,,1,1,0,
CO_13_13140,2020-04-23,0,1,0,,1,1,0,
CO_13_13222,2020-05-25,1,0,0,,2,0,0,
CO_13_13430,2020-05-23,4,0,0,,6,2,2,
CO_13_13442,2020-05-15,0,0,1,,1,0,1,
CO_13_13620,2020-04-14,1,0,0,,1,0,0,
CO_13_13673,2020-05-18,4,0,1,,5,0,1,
CO_13_13683,2020-05-27,4,0,0,,33,2,5,
CO_13_13688,2020-05-26,1,0,0,,1,0,0,
CO_13_13836,2020-05-27,5,0,0,,67,2,18,
CO_13_13838,2020-05-27,4,0,0,,10,0,0,
CO_13_13873,2020-05-25,1,0,0,,20,0,0,
CO_15_15001,2020-05-27,7,0,0,,36,2,8,
CO_15_15047,2020-05-16,1,0,0,,2,0,0,
CO_15_15104,2020-05-27,1,0,0,,1,0,0,
CO_15_15131,2020-05-06,0,0,1,,1,0,1,
CO_15_15176,2020-05-25,1,0,0,,14,0,6,
CO_15_15204,2020-05-24,1,0,0,,5,0,0,
CO_15_15212,2020-05-24,1,0,0,,1,0,0,
CO_15_15223,2020-05-21,1,0,0,,3,1,1,
CO_15_15224,2020-05-20,1,0,0,,2,1,0,
CO_15_15238,2020-05-27,1,0,0,,26,0,7,
CO_15_15299,2020-05-20,1,0,0,,4,1,2,
CO_15_15322,2020-05-26,1,0,0,,6,1,0,
CO_15_15407,2020-05-15,0,0,3,,5,0,4,
CO_15_15455,2020-05-21,0,0,1,,1,0,1,
CO_15_15469,2020-05-27,1,0,0,,3,0,0,
CO_15_15480,2020-05-19,0,0,1,,1,0,1,
CO_15_15494,2020-05-27,1,0,0,,1,0,0,
CO_15_15500,2020-04-11,0,0,1,,1,0,1,
CO_15_15516,2020-05-16,1,1,0,,6,1,3,
CO_15_15531,2020-05-26,1,0,0,,1,0,0,
CO_15_15533,2020-05-19,2,0,0,,2,0,0,
CO_15_15646,2020-05-16,1,0,0,,2,1,0,
CO_15_15676,2020-05-21,1,0,0,,1,0,0,
CO_15_15686,2020-05-16,0,0,1,,4,0,3,
CO_15_15693,2020-05-15,0,0,1,,1,0,1,
CO_15_15696,2020-05-24,0,0,1,,1,0,1,
CO_15_15757,2020-05-26,0,0,1,,3,0,3,
CO_15_15759,2020-05-26,1,0,0,,9,1,4,
CO_15_15776,2020-05-22,7,0,0,,8,0,0,
CO_15_15790,2020-05-27,1,0,0,,1,0,0,
CO_15_15798,2020-04-19,0,0,2,,2,0,2,
CO_15_15808,2020-05-12,1,0,0,,1,0,0,
CO_15_15810,2020-05-16,1,0,0,,1,0,0,
CO_15_15816,2020-05-24,0,0,1,,14,0,12,
CO_15_15835,2020-05-20,0,0,1,,3,0,2,
CO_15_15861,2020-05-25,1,0,0,,4,0,0,
CO_15_15879,2020-05-21,0,0,1,,1,0,1,
CO_17_17001,2020-05-27,2,0,0,,45,2,23,
CO_17_17013,2020-05-12,1,0,0,,1,0,0,
CO_17_17042,2020-04-10,0,0,1,,1,0,1,
CO_17_17174,2020-05-16,2,0,0,,6,0,4,
CO_17_17380,2020-05-25,0,0,1,,56,2,41,
CO_17_17433,2020-05-24,0,1,0,,2,1,0,
CO_17_17442,2020-05-08,0,0,1,,1,0,1,
CO_17_17444,2020-05-22,0,0,1,,5,0,4,
CO_17_17495,2020-05-08,0,1,0,,1,1,0,
CO_17_17614,2020-05-27,1,0,0,,2,0,0,
CO_17_17616,2020-05-15,0,0,1,,1,0,1,
CO_17_17662,2020-05-12,1,0,0,,2,0,1,
CO_17_17873,2020-05-27,1,0,0,,9,0,4,
CO_17_17877,2020-04-05,0,0,1,,2,0,2,
CO_18_18001,2020-05-26,2,0,0,,23,1,7,
CO_18_18753,2020-05-13,1,0,0,,1,0,0,
CO_19_19001,2020-05-27,1,0,0,,33,1,21,
CO_19_19110,2020-05-13,1,0,0,,1,0,0,
CO_19_19142,2020-05-20,1,0,0,,2,0,1,
CO_19_19256,2020-05-15,0,0,1,,4,0,2,
CO_19_19300,2020-04-30,0,0,1,,1,0,1,
CO_19_19455,2020-05-09,0,0,1,,6,1,5,
CO_19_19548,2020-05-22,1,0,0,,12,0,5,
CO_19_19573,2020-05-27,2,0,0,,12,0,4,
CO_19_19698,2020-05-26,1,0,0,,4,1,0,
CO_19_19807,2020-04-26,0,0,1,,2,0,1,
CO_19_19809,2020-05-22,1,0,0,,1,0,0,
CO_19_19824,2020-05-15,1,0,0,,1,0,0,
CO_19_19845,2020-04-25,1,0,0,,1,1,0,
CO_20_20001,2020-05-27,13,0,0,,80,6,42,
CO_20_20011,2020-05-07,0,1,0,,2,1,1,
CO_20_20013,2020-05-27,1,0,0,,9,0,4,
CO_20_20045,2020-05-24,1,0,0,,1,0,0,
CO_20_20060,2020-05-05,1,0,0,,2,0,1,
CO_20_20178,2020-05-27,1,0,0,,3,0,1,
CO_20_20238,2020-05-26,2,0,0,,5,0,0,
CO_20_20310,2020-05-26,1,0,0,,2,1,0,
CO_20_20400,2020-05-10,0,0,1,,1,0,1,
CO_20_20614,2020-05-25,1,0,0,,3,2,0,
CO_20_20621,2020-05-26,1,0,0,,2,0,1,
CO_20_20750,2020-05-22,0,0,1,,3,0,3,
CO_20_20770,2020-05-03,0,1,0,,2,2,0,
CO_23_23001,2020-05-26,0,0,1,,49,2,13,
CO_23_23090,2020-05-27,1,0,0,,6,0,1,
CO_23_23162,2020-05-24,1,0,0,,4,0,2,
CO_23_23182,2020-05-27,1,0,0,,2,0,0,
CO_23_23189,2020-05-25,1,0,0,,2,1,0,
CO_23_23417,2020-05-26,1,0,0,,8,1,4,
CO_23_23466,2020-05-21,0,0,1,,1,0,1,
CO_23_23660,2020-05-27,1,0,0,,22,1,1,
CO_23_23807,2020-05-15,0,1,0,,2,1,1,
CO_25,2020-04-21,0,1,0,,1,1,0,
CO_25_25035,2020-04-11,0,0,1,,2,0,2,
CO_25_25040,2020-05-27,1,0,0,,1,0,0,
CO_25_25126,2020-05-27,1,0,0,,24,0,17,
CO_25_25151,2020-05-25,1,0,0,,2,0,0,
CO_25_25175,2020-05-27,1,0,0,,38,0,21,
CO_25_25178,2020-05-12,0,0,1,,1,0,1,
CO_25_25181,2020-04-11,0,0,1,,1,0,1,
CO_25_25183,2020-05-24,1,0,0,,1,0,0,
CO_25_25200,2020-05-25,0,0,1,,2,0,2,
CO_25_25214,2020-05-24,0,0,1,,12,0,10,
CO_25_25245,2020-05-26,2,0,0,,10,0,1,
CO_25_25260,2020-05-25,1,0,0,,1,0,0,
CO_25_25269,2020-05-27,2,0,0,,29,0,5,
CO_25_25279,2020-05-24,1,0,0,,8,0,0,
CO_25_25286,2020-05-27,2,0,0,,21,0,9,
CO_25_25290,2020-05-27,2,0,0,,26,1,5,
CO_25_25295,2020-05-15,2,0,0,,7,0,0,
CO_25_25307,2020-05-27,5,0,0,,18,1,0,
CO_25_25320,2020-04-23,1,0,0,,1,0,0,
CO_25_25372,2020-05-24,1,0,0,,1,0,0,
CO_25_25377,2020-05-27,1,0,0,,5,0,1,
CO_25_25386,2020-05-27,1,0,0,,3,0,0,
CO_25_25430,2020-05-27,2,0,0,,27,0,6,
CO_25_25436,2020-05-27,1,0,0,,1,0,0,
CO_25_25473,2020-05-26,2,0,1,,31,2,11,
CO_25_25488,2020-05-24,1,0,0,,2,0,0,
CO_25_25513,2020-05-25,0,0,1,,11,0,11,
CO_25_25535,2020-05-27,1,0,0,,1,0,0,
CO_25_25645,2020-05-25,1,0,0,,2,0,0,
CO_25_25658,2020-05-17,1,0,0,,1,0,0,
CO_25_25662,2020-05-09,0,0,1,,2,0,2,
CO_25_25736,2020-05-25,1,0,0,,1,0,0,
CO_25_25740,2020-05-25,1,0,0,,9,0,2,
CO_25_25743,2020-05-08,1,0,0,,1,0,0,
CO_25_25754,2020-05-27,26,0,0,,240,3,68,
CO_25_25758,2020-05-27,1,0,0,,8,0,6,
CO_25_25769,2020-05-24,2,0,0,,6,0,3,
CO_25_25772,2020-05-25,1,0,0,,5,1,3,
CO_25_25785,2020-05-27,2,0,0,,6,0,0,
CO_25_25799,2020-05-26,2,0,0,,16,2,4,
CO_25_25817,2020-05-26,1,0,0,,9,1,6,
CO_25_25843,2020-05-25,1,0,0,,4,0,2,
CO_25_25845,2020-05-07,1,0,0,,1,0,0,
CO_25_25867,2020-05-25,1,0,0,,1,0,0,
