key,date,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
IN_HP,2020-05-13,-64,-14,-31,-20,-26,12
IN_HR,2020-05-13,-72,-22,-86,-60,-50,24
IN_JH,2020-05-13,-77,-31,-43,-54,-35,18
IN_JK,2020-05-13,2,128,202,176,81,15
IN_KA,2020-05-13,-72,-17,-69,-42,-51,23
IN_KL,2020-05-13,-73,0,3,-31,-36,20
IN_LD,2020-05-13,,,29,,-15,
IN_MH,2020-05-13,-82,-40,-71,-66,-66,32
IN_ML,2020-05-13,-70,-40,-17,-21,-22,15
IN_MN,2020-05-13,-77,-20,-13,-19,-27,10
IN_MP,2020-05-13,-77,-30,-67,-51,-45,22
IN_MZ,2020-05-13,-77,-13,-15,-9,-30,7
IN_NL,2020-05-13,-67,-32,-60,-49,-16,9
IN_OR,2020-05-13,-73,-19,-33,-46,-27,12
IN_PB,2020-05-13,-74,-25,-72,-55,-44,19
IN_PY,2020-05-13,-69,-16,-73,-34,-32,25
IN_RJ,2020-05-13,-76,-19,-73,-53,-42,19
IN_SK,2020-05-13,-65,-31,-43,-60,-14,10
IN_TG,2020-05-13,-83,-31,-65,-55,-56,25
IN_TN,2020-05-13,-74,-17,-39,-42,-47,25
IN_TR,2020-05-13,-75,-18,-12,-37,-9,15
IN_UP,2020-05-13,-75,-18,-51,-59,-45,20
IN_UT,2020-05-13,-65,-11,-51,-42,-27,17
IN_WB,2020-05-13,-82,-29,-51,-62,-48,21
IQ,2020-05-13,-18,9,-11,-16,-16,12
IT,2020-05-13,-59,-27,-39,-59,-42,19
IT_25,2020-05-13,-67,-34,-57,-69,-46,23
IT_34,2020-05-13,-59,-22,-42,-57,-35,18
IT_42,2020-05-13,-57,-26,-44,-54,-43,20
IT_45,2020-05-13,-57,-24,-23,-54,-38,19
IT_52,2020-05-13,-58,-28,-36,-52,-39,19
IT_55,2020-05-13,-56,-28,-22,-39,-37,17
IT_57,2020-05-13,-54,-25,-19,-41,-37,18
IT_62,2020-05-13,-60,-26,-48,-64,-50,22
IT_65,2020-05-13,-54,-23,-18,-54,-40,16
IT_67,2020-05-13,-54,-28,-33,-47,-41,16
IT_72,2020-05-13,-57,-24,-42,-55,-43,17
IT_75,2020-05-13,-52,-23,-26,-60,-40,15
IT_77,2020-05-13,-53,-22,-23,-49,-41,15
IT_78,2020-05-13,-56,-25,-30,-58,-43,16
IT_82,2020-05-13,-55,-26,-39,-57,-43,15
IT_88,2020-05-13,-58,-26,-8,-47,-40,14
JM,2020-05-13,-39,-28,-50,-39,-39,21
JO,2020-05-13,-37,-15,-34,-80,-38,15
JP,2020-05-13,-31,-1,4,-44,-23,13
JP_01,2020-05-13,-28,-6,-1,-43,-19,10
JP_02,2020-05-13,-9,1,20,-26,-7,4
JP_03,2020-05-13,-10,3,12,-26,-7,4
JP_04,2020-05-13,-17,2,19,-41,-16,9
JP_05,2020-05-13,-10,2,27,-24,-8,4
JP_06,2020-05-13,-11,1,29,-36,-10,7
JP_07,2020-05-13,-17,0,23,-36,-13,8
JP_08,2020-05-13,-21,-3,10,-47,-19,12
JP_09,2020-05-13,-20,-1,9,-42,-15,10
JP_10,2020-05-13,-23,-3,4,-42,-17,11
JP_11,2020-05-13,-27,1,17,-46,-29,16
JP_12,2020-05-13,-32,0,27,-48,-31,17
JP_13,2020-05-13,-53,-5,-2,-54,-44,23
JP_14,2020-05-13,-37,0,20,-47,-37,19
JP_15,2020-05-13,-14,3,16,-38,-12,8
JP_16,2020-05-13,-22,-2,19,-39,-15,10
JP_17,2020-05-13,-26,0,22,-50,-20,12
JP_18,2020-05-13,-20,1,27,-30,-14,9
JP_19,2020-05-13,-22,-3,-19,-45,-16,10
JP_20,2020-05-13,-22,-2,2,-45,-13,9
JP_21,2020-05-13,-26,-3,-12,-40,-17,11
JP_22,2020-05-13,-21,-2,-12,-42,-15,10
JP_23,2020-05-13,-27,-2,8,-45,-20,13
JP_24,2020-05-13,-19,-3,-8,-43,-14,9
JP_25,2020-05-13,-22,1,4,-43,-20,11
JP_26,2020-05-13,-34,-1,8,-47,-26,13
JP_27,2020-05-13,-39,-2,12,-43,-26,14
JP_29,2020-05-13,-24,2,-2,-39,-22,11
JP_30,2020-05-13,-20,-3,3,-36,-14,8
JP_31,2020-05-13,-13,1,19,-29,-8,6
JP_32,2020-05-13,-18,-3,9,-30,-11,7
JP_33,2020-05-13,-21,-2,5,-36,-12,8
JP_34,2020-05-13,-27,-1,14,-40,-18,11
JP_35,2020-05-13,-17,-1,7,-34,-12,8
JP_36,2020-05-13,-19,-3,4,-36,-11,7
JP_37,2020-05-13,-18,-1,-9,-41,-13,9
JP_38,2020-05-13,-18,-2,6,-31,-10,6
JP_40,2020-05-13,-28,-2,27,-48,-22,12
JP_41,2020-05-13,-14,-1,6,-36,-11,8
JP_42,2020-05-13,-18,-1,-2,-29,-9,6
JP_43,2020-05-13,-19,-1,4,-31,-14,8
JP_45,2020-05-13,-18,1,-6,-27,-8,6
JP_46,2020-05-13,-16,-1,-4,-36,-7,5
JP_47,2020-05-13,-31,-7,-39,-54,-22,13
KE,2020-05-13,-36,-27,-27,-33,-31,21
KG,2020-05-13,-45,-29,-16,-43,-43,10
KH,2020-05-13,-24,-15,-14,-45,-21,9
KR,2020-05-13,-7,8,58,-4,-2,3
KW,2020-05-13,-88,-76,-77,-79,-80,43
KZ,2020-05-13,-29,-13,5,-14,-36,9
LA,2020-05-13,-29,-14,-9,-44,-21,8
LB,2020-05-13,-31,7,-2,-53,-35,9
LI,2020-05-13,-74,-18,,-29,-23,
LK,2020-05-13,-51,-27,-33,-47,-37,23
LT,2020-05-13,-36,-4,18,-42,-39,15
LU,2020-05-13,-51,-21,-7,-45,-49,21
LV,2020-05-13,-18,-4,6,-35,-33,11
LY,2020-05-13,-22,5,3,-31,-19,10
MD,2020-05-13,-22,-12,3,-35,-37,10
MK,2020-05-13,-39,-10,29,-44,-38,12
ML,2020-05-13,-17,-13,-3,-35,-8,10
MM,2020-05-13,-47,-30,-14,-42,-27,15
MN,2020-05-13,6,28,36,11,6,-2
MT,2020-05-13,-47,-17,-10,-35,-45,21
MU,2020-05-13,-75,-60,-69,-81,-68,31
MX,2020-05-13,-55,-23,-48,-61,-48,22
MX_AGU,2020-05-13,-50,-18,-37,-62,-46,22
MX_BCN,2020-05-13,-52,-15,-35,-61,-42,21
MX_BCS,2020-05-13,-66,-34,-63,-72,-53,25
MX_CAM,2020-05-13,-59,-28,-57,-58,-50,23
MX_CHH,2020-05-13,-54,-16,-40,-58,-47,21
MX_CHP,2020-05-13,-52,-23,-45,-55,-41,17
MX_CMX,2020-05-13,-67,-34,-62,-67,-62,29
MX_COA,2020-05-13,-49,-18,-45,-48,-45,21
MX_COL,2020-05-13,-47,-15,-30,-51,-34,15
MX_DUR,2020-05-13,-45,-18,-44,-45,-41,17
MX_GRO,2020-05-13,-57,-24,-45,-52,-47,18
MX_GUA,2020-05-13,-50,-14,-45,-47,-41,19
MX_HID,2020-05-13,-51,-25,-47,-56,-49,22
MX_JAL,2020-05-13,-47,-18,-41,-54,-40,18
MX_MEX,2020-05-13,-50,-19,-40,-59,-50,23
MX_MIC,2020-05-13,-45,-17,-29,-43,-34,14
MX_MOR,2020-05-13,-53,-23,-50,-51,-46,21
MX_NAY,2020-05-13,-57,-28,-56,-46,-45,19
MX_OAX,2020-05-13,-52,-26,-53,-48,-42,17
MX_PUE,2020-05-13,-54,-23,-44,-44,-49,21
MX_QUE,2020-05-13,-58,-25,-48,-43,-49,24
MX_ROO,2020-05-13,-74,-46,-75,-85,-63,32
MX_SIN,2020-05-13,-60,-30,-49,-63,-51,23
MX_SON,2020-05-13,-53,-22,-42,-51,-48,21
MX_TAB,2020-05-13,-64,-37,-54,-61,-52,23
MX_TAM,2020-05-13,-45,-14,-42,-49,-42,19
MX_TLA,2020-05-13,-41,-18,-37,-47,-45,19
