key,date,mobility_driving,mobility_transit,mobility_walking,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
US_OH_39171,2020-05-24,58.08,,,0,18,,-2,-17,15
US_OH_39173,2020-05-24,12.95,,,-25,4,-19,-7,-22,6
US_OH_39175,2020-05-24,39.23,,,-14,6,,10,-22,6
US_OK,2020-05-24,13.13,,,-13,7,24,-4,-16,6
US_OK_40001,2020-05-16,,,,-22,8,,,-22,
US_OK_40005,2020-05-24,113.43,,,-31,-24,,-14,-21,
US_OK_40009,2020-05-24,57.13,,,0,-8,,1,-8,
US_OK_40011,2020-05-24,19.97,,,-30,-4,,,-21,
US_OK_40013,2020-05-24,15.69,,,-13,-8,,-28,-23,11
US_OK_40015,2020-05-24,63.51,,,-12,7,,-8,-18,
US_OK_40017,2020-05-24,7.03,,,-3,10,85,-10,-16,7
US_OK_40019,2020-05-24,68.99,,,-11,36,,8,-23,9
US_OK_40021,2020-05-24,122.86,,,3,5,-38,,-20,13
US_OK_40023,2020-05-16,,,,-25,-5,,,-8,
US_OK_40027,2020-05-24,-5.44,,,-17,9,-9,,-19,7
US_OK_40029,2020-05-14,,,,,,,,-28,
US_OK_40031,2020-05-24,48.91,,,-11,7,11,-12,-19,7
US_OK_40033,2020-05-16,,,,,-23,,-46,-29,
US_OK_40035,2020-05-24,62.95,,,-18,-25,,17,-1,
US_OK_40037,2020-05-24,25.11,,,7,20,-31,,-14,4
US_OK_40039,2020-05-24,22.02,,,-13,13,,8,-16,
US_OK_40041,2020-05-24,312.53,,,21,12,,-14,-9,10
US_OK_40047,2020-05-24,0.62,,,-4,20,-10,-31,-8,8
US_OK_40049,2020-05-24,42.17,,,-2,2,-54,-16,-6,-4
US_OK_40051,2020-05-24,-14.31,,,-11,30,,,-10,14
US_OK_40055,2020-05-13,,,,,,,,-25,
US_OK_40061,2020-05-15,,,,-20,-12,,,-30,
US_OK_40063,2020-05-15,,,,-6,8,,,-31,
US_OK_40065,2020-05-24,22.91,,,-4,-2,,,-4,9
US_OK_40067,2020-05-14,,,,,-4,,,-20,
US_OK_40069,2020-05-24,18.57,,,-58,9,,,-24,
US_OK_40071,2020-05-24,41.15,,,5,44,,1,-7,8
US_OK_40073,2020-05-24,6.53,,,-24,,,,-31,
US_OK_40075,2020-05-15,,,,-15,-2,,,-15,
US_OK_40077,2020-05-15,,,,-26,-11,,,-23,
US_OK_40079,2020-05-24,26.9,,,4,19,-44,,-15,9
US_OK_40081,2020-05-24,42.43,,,-3,-5,,,-15,6
US_OK_40083,2020-05-24,25.55,,,-10,-4,,1,-7,12
US_OK_40085,2020-05-24,42.71,,,-50,-13,,,-28,
US_OK_40087,2020-05-24,9.76,,,-1,3,,-28,-22,15
US_OK_40089,2020-05-24,222.86,,,-4,22,51,-26,-9,4
US_OK_40091,2020-05-24,211.47,,,21,24,,23,-10,
US_OK_40093,2020-05-15,,,,,,,,-22,
US_OK_40095,2020-05-24,186.03,,,-29,7,,,-10,
US_OK_40097,2020-05-24,81.2,,,4,15,,-2,-10,12
US_OK_40099,2020-05-24,227.16,,,-31,0,-30,,-20,
US_OK_40101,2020-05-24,26.86,,,4,16,-35,3,-8,3
US_OK_40103,2020-05-24,26.24,,,-40,-7,,-62,-22,
US_OK_40105,2020-05-15,,,,-51,-2,,-24,-31,
US_OK_40107,2020-05-16,,,,-41,-4,,-5,-31,
US_OK_40109,2020-05-24,-2.93,,,-19,4,12,-14,-17,6
US_OK_40111,2020-05-24,20.68,,,4,2,,-20,-13,10
US_OK_40113,2020-05-24,101.08,,,-2,1,-38,,-14,11
US_OK_40115,2020-05-24,78.13,,,12,-5,,-31,-19,6
US_OK_40117,2020-05-24,45.68,,,-32,-11,,,-14,
US_OK_40119,2020-05-24,-30.02,,,-18,0,-2,-20,-16,5
US_OK_40121,2020-05-24,54.94,,,-18,20,-38,-18,-12,12
US_OK_40123,2020-05-24,-2.3,,,-19,-7,,,-18,13
US_OK_40125,2020-05-24,39.14,,,-5,4,-41,,-10,5
US_OK_40127,2020-05-15,,,,-37,4,,,-12,
US_OK_40131,2020-05-24,18.02,,,-8,8,27,,-18,6
US_OK_40133,2020-05-24,54.48,,,-4,13,,-4,-6,
US_OK_40135,2020-05-24,58.02,,,1,6,,7,-16,12
US_OK_40137,2020-05-24,-4.84,,,-10,4,,,-21,11
US_OK_40139,2020-05-24,27.09,,,-21,-12,,-20,-1,
US_OK_40141,2020-05-15,,,,-14,0,,,-32,
US_OK_40143,2020-05-24,0.9,,,-17,1,-15,12,-21,6
US_OK_40145,2020-05-24,33.77,,,3,5,,,-17,6
US_OK_40147,2020-05-24,15.74,,,-13,6,,,-12,13
US_OK_40149,2020-05-24,25.57,,,,-17,,,-21,
US_OK_40151,2020-05-15,,,,-19,,-21,,-33,
US_OK_40153,2020-05-24,7.63,,,-5,-11,,,-2,
US_OR,2020-05-24,2.05,,,-36,-8,15,-31,-26,9
US_OR_41001,2020-05-16,,,,-12,-10,,29,-20,
US_OR_41003,2020-05-24,-12.86,,,-45,-18,11,-49,-34,12
US_OR_41005,2020-05-24,-10.36,,,-39,-10,-1,-25,-28,10
US_OR_41007,2020-05-24,175.22,,,-44,-18,-38,-36,-32,11
US_OR_41009,2020-05-24,53.32,,,-16,-1,61,,-16,12
US_OR_41011,2020-05-24,103.53,,,-16,-1,-2,-53,-22,7
US_OR_41013,2020-05-24,141.98,,,22,-15,,,-24,-1
US_OR_41015,2020-05-24,156.81,,,-16,2,14,,-14,
US_OR_41017,2020-05-24,96.63,,,-30,-8,9,-48,-24,7
US_OR_41019,2020-05-24,138.59,,,-10,3,30,7,-16,5
US_OR_41023,2020-05-15,,,,-70,-19,,,-20,
US_OR_41025,2020-05-15,,,,-41,-6,,,-10,
US_OR_41027,2020-05-24,152.24,,,-28,6,45,,-27,
US_OR_41029,2020-05-24,33.76,,,-27,-3,21,-29,-20,6
US_OR_41031,2020-05-24,223.45,,,-2,-6,,-5,-17,0
US_OR_41033,2020-05-24,76.18,,,-13,8,38,-4,-14,6
US_OR_41035,2020-05-24,109.76,,,-12,7,36,32,-15,3
US_OR_41037,2020-05-15,,,,-38,,,,-16,
US_OR_41039,2020-05-24,8.1,,,-32,-6,21,-39,-26,8
US_OR_41041,2020-05-24,197.03,,,-40,-13,-44,,-34,10
US_OR_41043,2020-05-24,29.93,,,-16,5,66,6,-20,7
US_OR_41045,2020-05-24,122.39,,,-7,12,,26,-9,7
US_OR_41047,2020-05-24,13.12,,,-34,-3,34,-23,-22,8
US_OR_41049,2020-05-16,,,,-41,,,12,-3,
US_OR_41051,2020-05-24,-26.8,,,-54,-14,-2,-49,-35,12
US_OR_41053,2020-05-24,30.3,,,-23,1,15,,-28,8
US_OR_41055,2020-05-16,,,,,,,24,,
US_OR_41057,2020-05-24,227.54,,,-43,-9,-38,,-26,-1
US_OR_41059,2020-05-24,61.76,,,-14,12,90,-4,-17,4
US_OR_41061,2020-05-24,90.05,,,-11,28,,-1,-18,0
US_OR_41063,2020-05-14,,,,-68,-14,,,-23,
US_OR_41065,2020-05-24,107.35,,,-12,5,65,,-17,7
US_OR_41067,2020-05-24,-21.65,,,-42,-13,9,-38,-30,12
US_OR_41071,2020-05-24,41.9,,,-20,-3,49,-8,-25,8
US_PA,2020-05-24,-6.61,,,-34,-6,128,-36,-25,8
US_PA_42001,2020-05-24,36.21,,,-30,20,0,-44,-23,6
US_PA_42003,2020-05-24,-16.23,,,-44,-11,78,-33,-32,8
US_PA_42005,2020-05-24,47.77,,,-9,11,,,-18,12
US_PA_42007,2020-05-24,-1.51,,,-32,-8,78,-29,-32,7
US_PA_42009,2020-05-24,68.35,,,-8,46,,-11,-13,11
US_PA_42011,2020-05-24,4.08,,,-30,-2,161,-21,-25,8
US_PA_42013,2020-05-24,-4.9,,,-32,2,-17,26,-20,4
US_PA_42015,2020-05-24,16.09,,,-11,28,,,-11,13
US_PA_42017,2020-05-24,-5.01,,,-35,-14,286,-41,-28,10
US_PA_42019,2020-05-24,7.71,,,-34,-17,7,24,-21,5
US_PA_42021,2020-05-24,9.49,,,-29,-1,,,-17,5
US_PA_42025,2020-05-24,88.78,,,-6,12,-7,,-20,15
US_PA_42027,2020-05-24,-58.51,,,-51,-14,-5,-15,-34,7
US_PA_42029,2020-05-24,-20.62,,,-40,-11,91,-50,-26,10
US_PA_42031,2020-05-24,75.59,,,-24,24,,,-16,8
US_PA_42033,2020-05-24,41.99,,,-15,11,-34,28,-17,2
US_PA_42035,2020-05-24,29.6,,,1,3,,-12,-11,13
US_PA_42037,2020-05-24,24.69,,,-22,2,,10,-20,15
US_PA_42039,2020-05-24,84.12,,,-6,28,,,-21,3
US_PA_42041,2020-05-24,-4.23,,,-40,-6,210,-8,-24,8
US_PA_42043,2020-05-24,-17.65,,,-43,-15,128,-37,-21,8
US_PA_42045,2020-05-24,-23.1,,,-35,-10,159,-36,-28,10
US_PA_42047,2020-05-24,67.48,,,-22,-14,,,-25,9
US_PA_42049,2020-05-24,25.13,,,-33,15,68,-5,-25,6
US_PA_42051,2020-05-24,56.74,,,-16,13,-12,,-21,4
US_PA_42055,2020-05-24,5.18,,,-27,-4,16,-10,-21,6
US_PA_42057,2020-05-24,45.51,,,-12,-27,,-36,-37,
US_PA_42059,2020-05-24,10.1,,,-16,-4,,,-22,3
US_PA_42061,2020-05-24,121.86,,,1,20,,,-12,12
US_PA_42063,2020-05-24,7.61,,,-24,2,,,-18,5
US_PA_42065,2020-05-24,48.49,,,-11,9,,-2,-10,12
US_PA_42067,2020-05-24,28.61,,,-48,-34,,,-23,
US_PA_42069,2020-05-24,21.95,,,-33,-1,124,59,-23,7
US_PA_42071,2020-05-24,-8.94,,,-38,-8,164,-32,-23,7
US_PA_42073,2020-05-24,21.73,,,-17,9,-50,,-17,4
US_PA_42075,2020-05-24,7.57,,,-24,2,-34,8,-18,7
US_PA_42077,2020-05-24,-3.62,,,-41,-7,147,-29,-23,9
US_PA_42079,2020-05-24,15.41,,,-32,-2,55,-7,-25,7
US_PA_42081,2020-05-24,9.58,,,-25,6,42,8,-18,3
US_PA_42083,2020-05-24,103.45,,,-20,49,,,-20,14
US_PA_42085,2020-05-24,41.12,,,-24,6,-28,-55,-23,4
US_PA_42087,2020-05-24,18.18,,,-12,9,,,-11,12
US_PA_42089,2020-05-24,36.28,,,-33,0,57,-37,-31,10
US_PA_42091,2020-05-24,-28.61,,,-47,-17,71,-55,-30,11
US_PA_42093,2020-05-24,-12.53,,,-12,-11,,,-12,
US_PA_42095,2020-05-24,-2.17,,,-38,-9,248,-26,-24,9
US_PA_42097,2020-05-24,38.91,,,-11,21,,-22,-12,4
US_PA_42099,2020-05-24,58.38,,,-10,18,,,-15,15
US_PA_42101,2020-05-24,-14.76,,,-40,-11,16,-50,-29,10
US_PA_42103,2020-05-24,140.83,,,-9,14,-49,,-19,20
US_PA_42105,2020-05-16,,,,-38,1,,,-7,
US_PA_42107,2020-05-24,33.92,,,-18,12,-43,1,-16,5
US_PA_42109,2020-05-24,37.54,,,-24,11,,,-15,14
US_PA_42111,2020-05-24,78.41,,,-19,24,-16,-28,-15,3
US_PA_42113,2020-05-15,,,,,,,,-29,
US_PA_42115,2020-05-24,58.7,,,-9,-3,-42,-6,-15,14
US_PA_42117,2020-05-24,111.47,,,-3,4,,,-14,13
US_PA_42119,2020-05-24,7.89,,,-24,-1,,,-15,13
US_PA_42121,2020-05-24,64.92,,,-1,21,,-18,-13,12
US_PA_42123,2020-05-24,106,,,-6,17,-37,,-20,14
US_PA_42125,2020-05-24,-2.04,,,-33,2,99,-20,-26,6
US_PA_42127,2020-05-24,112.38,,,-1,14,,,-22,14
US_PA_42129,2020-05-24,10.24,,,-26,1,148,-19,-22,6
US_PA_42131,2020-05-24,51.47,,,-14,5,,,-14,-1
US_PA_42133,2020-05-24,5.06,,,-30,-3,185,-46,-25,7
US_PR,2020-05-24,-32.26,,,,,,,,
US_PR_72005,2020-05-24,1.62,,,,,,,,
US_PR_72013,2020-05-24,14.99,,,,,,,,
US_PR_72021,2020-05-24,-52.82,,,,,,,,
US_PR_72025,2020-05-24,-56.35,,,,,,,,
US_PR_72031,2020-05-24,-50.1,,,,,,,,
US_PR_72051,2020-05-24,-9.68,,,,,,,,
US_PR_72061,2020-05-24,-58.65,,,,,,,,
US_PR_72063,2020-05-24,-44.58,,,,,,,,
US_PR_72069,2020-05-24,-4.09,,,,,,,,
US_PR_72097,2020-05-24,-43.3,,,,,,,,
US_PR_72113,2020-05-24,-62.3,,,,,,,,
US_PR_72119,2020-05-24,-0.36,,,,,,,,
US_PR_72127,2020-05-24,-64.36,,,,,,,,
US_PR_72137,2020-05-24,-17.21,,,,,,,,
US_PR_72139,2020-05-24,-25.75,,,,,,,,
US_RI,2020-05-24,11.99,,,-26,-6,232,-42,-28,8
US_RI_44001,2020-05-24,20.98,,,-18,-6,,,-25,16
US_RI_44003,2020-05-24,8.58,,,-26,-12,83,-53,-26,7
US_RI_44005,2020-05-24,87.73,,,-12,8,181,-19,-24,18
US_RI_44007,2020-05-24,-1.53,,,-31,-6,93,-49,-30,8
US_RI_44009,2020-05-24,62.99,,,-9,-8,111,-18,-23,8
US_SC,2020-05-24,35.36,,,-14,6,79,-6,-20,5
US_SC_45001,2020-05-24,38.85,,,-30,15,,,-23,
US_SC_45003,2020-05-24,15.94,,,-11,4,4,16,-20,5
US_SC_45005,2020-05-15,,,,,-12,,,-20,
US_SC_45007,2020-05-24,26.35,,,-17,6,99,-6,-17,4
US_SC_45009,2020-05-16,,,,-32,8,,,-16,
US_SC_45011,2020-05-24,8.77,,,-9,18,,,-12,
US_SC_45013,2020-05-24,129.57,,,-7,2,145,-23,-22,5
US_SC_45015,2020-05-24,8.48,,,-15,5,36,-10,-20,5
US_SC_45017,2020-05-24,41.84,,,-16,13,,-22,-19,
US_SC_45019,2020-05-24,27.68,,,-28,-8,22,-27,-25,7
US_SC_45021,2020-05-24,22.54,,,-5,15,-34,1,-17,8
US_SC_45023,2020-05-24,38.96,,,-7,8,,-16,-18,9
US_SC_45025,2020-05-24,33.14,,,5,17,,,-8,7
US_SC_45027,2020-05-24,75.69,,,1,5,,-4,-21,
US_SC_45029,2020-05-24,65.59,,,-5,5,,1,-17,9
US_SC_45031,2020-05-24,21.83,,,-2,12,-35,,-17,10
US_SC_45033,2020-05-24,83.6,,,-7,1,-27,23,-14,-2
US_SC_45035,2020-05-24,15.31,,,-17,5,20,-5,-21,6
US_SC_45037,2020-05-24,30.85,,,-54,7,,,-8,
US_SC_45039,2020-05-24,52.1,,,-3,5,,-9,-13,
US_SC_45041,2020-05-24,17.78,,,-17,12,32,49,-16,4
US_SC_45043,2020-05-24,106.8,,,8,21,114,,-13,8
US_SC_45045,2020-05-24,-1.41,,,-23,4,38,-11,-25,6
US_SC_45047,2020-05-24,10.73,,,-11,14,,,-11,4
US_SC_45049,2020-05-24,51.25,,,-47,-7,,7,-8,
US_SC_45051,2020-05-24,287.45,,,5,27,164,-37,-19,4
US_SC_45053,2020-05-24,54.87,,,-13,3,18,25,-18,7
US_SC_45055,2020-05-24,12.23,,,-13,17,-33,-13,-10,10
US_SC_45057,2020-05-24,-1.03,,,-6,11,,,-16,4
US_SC_45059,2020-05-24,51.73,,,6,23,,15,-17,3
US_SC_45061,2020-05-24,66.5,,,-70,8,,7,-7,
US_SC_45063,2020-05-24,7.88,,,-21,5,128,2,-17,5
US_SC_45065,2020-05-15,,,,-49,11,,,-21,
US_SC_45067,2020-05-24,134.32,,,-3,9,,,-14,2
US_SC_45069,2020-05-24,98.85,,,-29,16,,,-18,
US_SC_45071,2020-05-24,65.37,,,-6,-1,,-4,-15,8
US_SC_45073,2020-05-24,91.75,,,1,25,160,,-13,3
US_SC_45075,2020-05-24,31.43,,,-6,5,-31,-5,-17,4
US_SC_45077,2020-05-24,-7.24,,,-6,11,41,-61,-21,4
US_SC_45079,2020-05-24,-11.83,,,-25,0,1,-13,-23,7
US_SC_45081,2020-05-24,35.88,,,-40,3,,,-8,
US_SC_45083,2020-05-24,4.34,,,-14,3,81,-34,-22,5
US_SC_45085,2020-05-24,16.33,,,-13,2,-28,-11,-16,4
US_SC_45087,2020-05-24,19.13,,,13,18,,,-17,4
US_SC_45089,2020-05-24,11.41,,,-31,4,,,-14,
US_SC_45091,2020-05-24,-0.56,,,-11,-2,92,-9,-21,6
US_SD,2020-05-24,91.5,,,-19,11,49,-7,-16,9
US_SD_46005,2020-05-16,,,,-36,-12,,,-15,
US_SD_46009,2020-05-14,,,,,,,,-17,
US_SD_46011,2020-05-24,-5.01,,,-11,-27,,,-19,11
US_SD_46013,2020-05-24,14.81,,,-18,-12,,,-16,11
US_SD_46015,2020-05-14,,,,-55,,,,-26,
US_SD_46019,2020-05-15,,,,-25,,,,-19,
US_SD_46023,2020-05-15,,,,-49,,,,-27,
US_SD_46027,2020-05-24,-3.73,,,-47,,,,-34,
US_SD_46029,2020-05-24,50.37,,,3,6,,1,-10,4
US_SD_46033,2020-05-15,,,,,,,,-23,
US_SD_46035,2020-05-24,100.1,,,-13,-4,,12,-7,
US_SD_46041,2020-05-12,,,,,,,,-41,
US_SD_46047,2020-05-15,,,,-37,-12,,,-22,
US_SD_46051,2020-05-15,,,,-32,,,,-17,
US_SD_46057,2020-05-15,,,,,,,,-32,
US_SD_46065,2020-05-16,,,,-4,-11,,,-11,
US_SD_46067,2020-05-15,,,,,,,,-18,
US_SD_46077,2020-05-14,,,,,,,,-17,
US_SD_46079,2020-05-15,,,,-20,-6,,,-27,
US_SD_46081,2020-05-24,359.64,,,-27,-5,-26,,-26,0
US_SD_46083,2020-05-24,13.28,,,-22,0,,,-21,15
US_SD_46085,2020-04-10,,,,,,,-38,,
US_SD_46087,2020-05-15,,,,,,,,-30,
US_SD_46093,2020-05-24,128.31,,,-5,-7,,,-12,9
US_SD_46099,2020-05-24,29.72,,,-30,0,7,-28,-26,11
US_SD_46101,2020-05-15,,,,,,,,-39,
US_SD_46102,2020-05-15,,,,-50,-11,,,-41,
US_SD_46103,2020-05-24,246.73,,,-16,8,38,-1,-13,7
US_SD_46109,2020-05-15,,,,-45,-20,,-7,-28,
US_SD_46115,2020-05-15,,,,,,,,-27,
US_SD_46121,2020-05-15,,,,,-14,,,-60,
US_SD_46123,2020-04-03,,,,-71,,,,,
US_SD_46125,2020-05-15,,,,,,,,-24,
US_SD_46127,2020-05-24,36.3,,,-48,-9,,3,-14,
US_SD_46129,2020-05-12,,,,-21,,,,-32,
US_SD_46135,2020-05-16,,,,4,0,,,-7,8
US_TN,2020-05-24,12.39,,,-14,8,103,-10,-16,3
US_TN_47001,2020-05-24,37.49,,,-3,7,19,,-16,3
US_TN_47003,2020-05-24,39.59,,,7,12,,,-5,10
US_TN_47005,2020-05-24,97.53,,,-6,83,,9,-6,
US_TN_47007,2020-05-15,,,,-7,18,,,-27,
US_TN_47009,2020-05-24,36.74,,,-4,15,81,-61,-18,2
US_TN_47011,2020-05-24,13.47,,,-9,11,,6,-17,2
US_TN_47013,2020-05-24,159.27,,,26,34,114,31,-12,7
US_TN_47015,2020-05-16,,,,0,12,,,-18,
US_TN_47017,2020-05-24,12.53,,,-10,4,,,-3,4
US_TN_47019,2020-05-24,49.08,,,28,28,4,,-12,1
US_TN_47021,2020-05-24,23.4,,,-4,79,,-22,-8,12
US_TN_47023,2020-05-24,36.7,,,-19,-4,,,-30,
US_TN_47025,2020-05-24,51.13,,,10,57,,,-6,-2
US_TN_47027,2020-05-15,,,,,,,,-25,
US_TN_47029,2020-05-24,159.97,,,19,28,64,-6,-14,6
US_TN_47031,2020-05-24,41.13,,,-1,26,-50,-25,-14,9
US_TN_47033,2020-05-24,80.85,,,-34,4,,,-4,
US_TN_47035,2020-05-24,59.87,,,13,18,-20,5,-16,7
US_TN_47037,2020-05-24,-25.82,,,-36,-1,0,-48,-27,6
US_TN_47039,2020-05-24,53.12,,,-20,22,,,-28,
US_TN_47041,2020-05-24,186,,,-12,18,,,-5,
US_TN_47043,2020-05-24,28.48,,,-3,8,,-3,-13,9
US_TN_47045,2020-05-24,-2.94,,,-2,3,,7,3,8
US_TN_47047,2020-05-24,27.09,,,-3,52,,-11,-4,8
US_TN_47049,2020-05-16,,,,-26,1,,,4,
US_TN_47051,2020-05-24,90.14,,,27,26,,,-18,8
US_TN_47053,2020-05-24,13.74,,,-2,17,,,-5,8
US_TN_47055,2020-05-24,51.28,,,7,33,,-3,-14,8
US_TN_47057,2020-05-24,86.63,,,-39,4,,,-9,
US_TN_47059,2020-05-24,22.37,,,8,9,,16,-9,0
US_TN_47061,2020-05-24,151.9,,,-66,-12,,,-26,
US_TN_47063,2020-05-24,31.14,,,-6,12,-56,,-9,1
US_TN_47065,2020-05-24,8.41,,,-20,6,92,-18,-18,5
US_TN_47067,2020-05-14,,,,,,,,-29,
US_TN_47069,2020-05-24,31.75,,,-36,-2,,,-11,
US_TN_47071,2020-05-24,158.77,,,24,10,,,-11,
US_TN_47073,2020-05-24,17.02,,,19,29,,,-7,8
US_TN_47075,2020-05-24,50.32,,,-25,4,,,-1,
US_TN_47077,2020-05-24,48.81,,,0,20,,,-17,-1
US_TN_47079,2020-05-24,64.48,,,2,18,,,-6,7
US_TN_47081,2020-05-24,55.42,,,-32,5,,,-14,-3
US_TN_47083,2020-05-15,,,,-70,-6,,,-15,
US_TN_47085,2020-05-24,54.51,,,9,-5,,,-15,
US_TN_47087,2020-05-15,,,,,2,,,-29,
US_TN_47089,2020-05-24,80.23,,,10,19,,-4,-18,7
US_TN_47091,2020-05-16,,,,-22,5,,,-18,
US_TN_47093,2020-05-24,0.78,,,-22,-2,60,8,-19,3
US_TN_47097,2020-05-24,36.76,,,-20,19,,,-10,
US_TN_47099,2020-05-24,30.35,,,10,18,,,-11,9
US_TN_47101,2020-05-15,,,,-20,17,,,-30,
US_TN_47103,2020-05-24,32.54,,,0,10,,,1,8
US_TN_47105,2020-05-24,43.46,,,8,21,,5,-16,7
US_TN_47107,2020-05-24,26.28,,,0,17,-50,5,-19,7
US_TN_47109,2020-05-24,30.29,,,-23,5,,-2,0,
US_TN_47111,2020-05-24,30.11,,,-32,5,,,-16,
US_TN_47113,2020-05-24,11.44,,,-16,2,-6,-13,-15,4
US_TN_47115,2020-05-24,75.72,,,16,23,33,13,-8,0
US_TN_47117,2020-05-24,51.59,,,20,6,,-7,-6,11
US_TN_47119,2020-05-24,12.57,,,-13,2,-6,20,-20,3
US_TN_47121,2020-05-16,,,,-25,32,,,-11,
US_TN_47123,2020-05-24,64.66,,,19,27,-46,,-13,9
US_TN_47125,2020-05-24,35.26,,,-7,9,118,-2,-11,4
US_TN_47127,2020-05-15,,,,,,,,-25,
US_TN_47129,2020-05-16,,,,7,3,,,-11,
US_TN_47131,2020-05-24,10.82,,,-4,32,,,-14,3
US_TN_47133,2020-05-24,41.51,,,-23,11,,,-10,
US_TN_47135,2020-05-15,,,,-59,,,,-26,
US_TN_47139,2020-05-16,,,,-41,2,,,-9,
US_TN_47141,2020-05-24,28.96,,,-12,7,-50,-3,-10,1
US_TN_47143,2020-05-24,61.08,,,20,28,,,-13,7
US_TN_47145,2020-05-24,56.89,,,16,11,-13,,-7,8
US_TN_47147,2020-05-24,18.47,,,3,4,,-6,-17,3
US_TN_47149,2020-05-24,12.23,,,-18,4,140,4,-18,5
US_TN_47151,2020-05-16,,,,-28,26,,,-12,
US_TN_47153,2020-05-16,,,,-35,24,,,-8,
US_TN_47155,2020-05-24,368.22,,,1,13,22,,-26,3
US_TN_47157,2020-05-24,7.51,,,-22,2,-29,-10,-15,6
US_TN_47159,2020-05-24,55.09,,,-30,22,,8,-7,
US_TN_47161,2020-05-15,,,,-23,15,,,-23,
US_TN_47163,2020-05-24,24.7,,,0,10,38,30,-13,1
US_TN_47165,2020-05-24,14.02,,,-12,7,21,,-20,4
US_TN_47167,2020-05-24,20.6,,,2,13,,,-6,10
US_TN_47169,2020-05-15,,,,-37,11,,,-26,
US_TN_47171,2020-05-16,,,,-25,3,,,-17,
US_TN_47173,2020-05-16,,,,9,0,,,-10,
US_TN_47175,2020-05-14,,,,,,,,-25,
US_TN_47177,2020-05-24,62.68,,,12,28,,,-7,8
US_TN_47179,2020-05-24,12.28,,,-15,1,15,-11,-15,2
US_TN_47181,2020-05-15,,,,-29,16,,,-25,
US_TN_47183,2020-05-24,6.76,,,-24,12,,,-11,7
US_TN_47185,2020-05-24,56.07,,,19,18,,,-5,-1
US_TN_47187,2020-05-24,-13.17,,,-27,-5,91,-6,-20,7
US_TN_47189,2020-05-24,11.5,,,-6,8,117,-7,-14,4
US_TX,2020-05-24,-9.18,,,-29,-8,-30,-35,-24,11
US_TX_48001,2020-05-24,44.38,,,-22,-7,,-25,-12,8
US_TX_48003,2020-05-24,-41.21,,,-24,-40,,-15,-25,
US_TX_48005,2020-05-24,9.03,,,-20,1,-44,-23,-17,9
US_TX_48007,2020-05-24,268.14,,,-6,12,39,,-18,8
US_TX_48009,2020-05-15,,,,,,,,-28,
US_TX_48013,2020-05-24,25.16,,,-6,-7,,-27,-15,13
US_TX_48015,2020-05-24,36.71,,,-17,-1,,,-14,1
US_TX_48017,2020-05-15,,,,-24,-8,,,-22,
US_TX_48019,2020-05-24,200,,,-45,-5,-2,,-16,
US_TX_48021,2020-05-24,16.54,,,-13,-3,-39,,-22,9
US_TX_48025,2020-05-24,13.66,,,-20,-4,,,-21,-1
US_TX_48027,2020-05-24,18.89,,,-14,-6,26,-21,-20,8
US_TX_48029,2020-05-24,-16.29,,,-28,-2,-43,-33,-26,9
US_TX_48031,2020-05-24,115.6,,,-67,-20,-44,,-34,
US_TX_48035,2020-05-24,50.1,,,-37,-7,,,-11,
US_TX_48037,2020-05-24,22.67,,,-20,-6,-10,-21,-10,8
US_TX_48039,2020-05-24,30.56,,,-13,0,2,-9,-20,10
US_TX_48041,2020-05-24,-42.61,,,-35,-16,-30,-47,-24,11
US_TX_48043,2020-05-24,11.94,,,-52,-43,,,-24,
US_TX_48047,2020-05-24,8.43,,,-55,-9,,-56,-29,
US_TX_48049,2020-05-24,36.85,,,-4,11,,,-10,8
US_TX_48051,2020-05-24,29.49,,,-34,-10,,,-21,
US_TX_48053,2020-05-24,89.88,,,-6,3,-5,,-17,9
US_TX_48055,2020-05-24,54.8,,,-15,-17,,-25,-24,14
US_TX_48057,2020-05-24,128.08,,,-10,-6,-38,,-13,
US_TX_48059,2020-05-24,12.2,,,-30,-15,,-10,-7,
US_TX_48061,2020-05-24,66.2,,,-30,-8,-30,-54,-25,12
US_TX_48063,2020-05-16,,,,-32,-9,,,-11,
US_TX_48065,2020-05-24,37.04,,,,-24,,16,-30,
US_TX_48067,2020-05-24,21.08,,,-4,26,,-19,-2,6
US_TX_48069,2020-05-15,,,,,-20,,,-15,
US_TX_48071,2020-05-24,9.93,,,-24,11,-55,-25,-19,16
US_TX_48073,2020-05-24,24.63,,,-14,-4,,,-20,10
US_TX_48075,2020-05-15,,,,-36,-20,,-3,-20,
US_TX_48077,2020-05-24,70.71,,,-51,,,8,-22,
US_TX_48081,2020-04-05,,,,,-30,,,,
US_TX_48083,2020-05-15,,,,-48,-19,,,-22,
US_TX_48085,2020-05-24,-18.94,,,-43,-25,-54,-43,-29,15
US_TX_48089,2020-05-24,85.08,,,-25,-11,,-31,-2,
US_TX_48091,2020-05-24,93.29,,,-18,10,87,-12,-21,8
US_TX_48093,2020-05-24,23.74,,,-28,-29,,,-20,
US_TX_48097,2020-05-24,24,,,-31,-13,-51,-29,-23,11
US_TX_48099,2020-05-24,23.01,,,-13,5,-14,,-20,8
US_TX_48103,2020-05-12,,,,-63,-20,,,-33,
US_TX_48105,2020-05-24,28.77,,,-50,-24,,,,
